曲柄转角(度),时间(s),滑块6位移(mm),滑块6速度(mm/s),滑块6加速度(mm/s²)
140.38997214484678,0.47751691205730196,-301.1569862015781,-270.270245865629,1602.3014283088391
141.39275766016712,0.4809277471434256,-302.067003461143,-264.7835157583854,1623.7099839770613
142.39554317548743,0.4843385822295492,-302.9582346080977,-259.2245997161252,1644.776899131857
143.3983286908078,0.4877494173156728,-303.83043611227305,-253.59455726088981,1665.5718057562513
144.4011142061281,0.49116025240179634,-304.6833676506888,-247.89417926880378,1686.1854567228354
145.40389972144845,0.49457108748791995,-305.51679107328533,-242.12390789542835,1706.735227915576
146.4066852367688,0.4979819225740435,-306.33046906494343,-236.28373554148692,1727.3721320856691
147.40947075208913,0.5013927576601671,-307.1241634239077,-230.3730770649136,1748.2897872542085
148.41225626740945,0.5048035927462907,-307.89763285450067,-224.39060773703653,1769.7359206051622
149.41504178272982,0.5082144278324143,-308.65063014320725,-218.33405719685126,1792.0271726128442
150.41782729805013,0.5116252629185378,-309.38289854971737,-212.19994669885392,1815.5682111938563
151.42061281337044,0.5150360980046614,-310.09416719558044,-205.98325303906992,1840.8764930124562
152.4233983286908,0.518446933090785,-310.78414516903075,-199.67697735863314,1868.6144467902247
153.42618384401112,0.5218577681769087,-311.45251398033304,-193.27159013573507,1899.631439527989
154.42896935933146,0.5252686032630323,-312.09891789104256,-186.75431450470123,1935.018670659969
155.4317548746518,0.5286794383491558,-312.72295149397047,-180.1081978183203,1976.18118574479
156.43454038997214,0.5320902734352794,-313.3241437265413,-173.31090507786593,2024.9325936501878
157.43732590529245,0.535501108521403,-313.9019372427995,-166.33314616083604,2083.6199100022213
158.4401114206128,0.5389119436075266,-314.45566172763546,-159.13661997581,2155.2883517195787
159.44289693593313,0.5423227786936501,-314.9844992834512,-151.67132063893413,2243.8989921079096
160.44568245125345,0.5457336137797737,-315.4874394190568,-143.87200098187864,2354.616040402821
161.44846796657382,0.5491444488658973,-315.96322037856606,-135.65352444571766,2494.18511744031
162.45125348189413,0.5525552839520209,-316.41025251052423,-126.90475528500578,2671.428993136665
163.45403899721447,0.5559661190381445,-316.8265180335661,-117.48053809784918,2897.8920388701977
164.4568245125348,0.559376954124268,-317.2094398445232,-107.1912040001745,3188.6673186137627
165.45961002785515,0.5627877892103916,-317.5557098975129,-95.78892368551065,3563.4371423214193
166.46239554317546,0.5661986242965152,-317.86106517571716,-82.9501350047907,4047.7422455408546
167.4651810584958,0.5696094593826388,-318.11999653019853,-68.25326215121913,4674.45483700986
168.46796657381614,0.5730202944687625,-318.3253730815078,-51.15112250812497,5485.3480326952085
169.47075208913648,0.5764311295548861,-318.4679633499817,-30.937969411795937,6532.502585804788
170.4735376044568,0.5798419646410096,-318.53583545845873,-6.7123294074121205,7879.041631184514
171.47632311977713,0.5832527997271332,-318.513625454794,22.66095324932321,9598.317452056977
172.47910863509748,0.5866636348132568,-318.3816793139055,58.582347137193175,11770.221612409383
173.4818941504178,0.5900744698993803,-318.1151060865138,102.73048802761835,14472.895178013685
174.48467966573816,0.5934853049855039,-317.68283245657483,157.03741637538153,17768.113730240075
175.48746518105847,0.5968961400716275,-317.04682434246354,223.60201000204063,21679.553682032078
176.4902506963788,0.6003069751577511,-316.16173034771737,304.51737339600794,26165.566084429658
177.49303621169915,0.6037178102438747,-314.9752775846676,401.5990581954397,31092.01611325648
178.4958217270195,0.6071286453299983,-313.4297639654355,516.0276870916302,36214.94004157524
179.4986072423398,0.6105394804161218,-311.4648851554728,647.9591945326863,41184.47210911763
180.50139275766017,0.6139503155022454,-309.02187828834235,796.1941640244033,45577.71829543535
181.50417827298048,0.617361150588369,-306.0485983253748,958.0116999438111,48958.510894757346
182.5069637883008,0.6207719856744925,-302.5047918941668,1129.2452585465621,50950.21876905735
183.50974930362116,0.6241828207606163,-298.3666577910445,1304.6118276244733,51300.76057353564
184.51253481894148,0.6275936558467398,-293.6298815021636,1478.230024352927,49921.27578111479
185.51532033426182,0.6310044909328634,-288.3106712308205,1644.212343142261,46890.20121161845
186.51810584958216,0.634415326018987,-282.444763521604,1797.2109849761819,42426.674789075296
187.5208913649025,0.6378261611051106,-276.0847461629553,1932.829178442093,36845.23008068697
188.5236768802228,0.6412369961912341,-269.2962657090727,2047.8588086543245,30505.450706971515
189.52646239554318,0.6446478312773577,-262.1537338591844,2140.349251278634,23767.198404092196
190.5292479108635,0.6480586663634813,-254.7360667207827,2209.54043045087,16957.194050535316
191.53203342618383,0.6514695014496049,-247.12284657720568,2255.7043128469013,10348.421765578038
192.53481894150417,0.6548803365357285,-239.39113942250444,2279.9378574275916,4151.014733975391
193.53760445682448,0.658291171621852,-231.61306523416084,2283.942508316122,-1488.043805662705
194.54038997214482,0.6617020067079756,-223.85411555640837,2269.815110450294,-6479.336699506325
195.54317548746516,0.6651128417940992,-216.17214611545134,2239.8653879113167,-10782.146868894904
196.5459610027855,0.6685236768802229,-208.61693604680758,2196.4671725666553,-14394.327851656926
197.54874651810582,0.6719345119663463,-201.23019256057614,2141.9447902809975,-17342.310968594167
198.55153203342618,0.67534534705247,-194.04588305169875,2078.492268018396,-19672.105051922455
199.5543175487465,0.6787561821385936,-187.09078937677754,2008.1209463903685,-21441.719038970503
200.55710306406684,0.6821670172247172,-180.3851963415602,1932.6302337396849,-22715.135527236598
201.55988857938718,0.6855778523108408,-173.9436449295688,1853.5962149125687,-23557.769504828644
202.56267409470752,0.6889886873969644,-167.77569828093047,1772.3732983326872,-24033.23787714576
203.56545961002783,0.6923995224830879,-161.88668371642126,1690.1048007823254,-24201.218259959594
204.56824512534817,0.6958103575692115,-156.2783867109827,1607.7391605098328,-24116.168866297812
205.5710306406685,0.6992211926553351,-150.94968262451764,1526.0492302632927,-23826.698643983626
206.57381615598882,0.7026320277414586,-145.89709943028,1445.652775176611,-23375.406128491857
207.57660167130916,0.7060428628275823,-141.11531000426857,1367.0328620422597,-22799.038741331748
208.5793871866295,0.7094536979137058,-136.59755615108097,1290.5572735348983,-22128.85659762127
209.58217270194984,0.7128645329998294,-132.33600882375907,1216.496422602659,-21391.11366932884
210.58495821727018,0.716275368085953,-128.32207028303566,1145.0394934714368,-20607.59328978406
211.58774373259052,0.7196862031720767,-124.54662451442957,1076.3087131483458,-19796.154333185263
212.59052924791084,0.7230970382582002,-121.00024230243467,1010.371776919156,-18971.259337637213
213.59331476323118,0.7265078733443238,-117.6733471204217,947.2525271780246,-18144.466984629325
214.59610027855152,0.7299187084304474,-114.55634755972702,886.9400287243986,-17324.879392962906
215.59888579387183,0.7333295435165709,-111.63974148284075,829.3962047769163,-16519.540291672423
216.60167130919217,0.7367403786026946,-108.91419650682282,774.5622036109809,-15733.78388520624
217.6044568245125,0.7401512136888181,-106.37061084603135,722.3636613401392,-14971.536597854209
218.60724233983285,0.7435620487749417,-104.00015799430487,672.715015870476,-14235.575269237055
219.61002785515316,0.7469728838610653,-101.79431822106214,625.5230132500911,-13527.746066832382
220.61281337047353,0.7503837189471889,-99.74489940076684,580.6895324226366,-12849.148609797112
221.61559888579384,0.7537945540333124,-97.844049293017,538.1138390337843,-12200.289725671026
222.61838440111418,0.7572053891194361,-96.0842610399928,497.6943642207929,-11581.211005864601
223.62116991643452,0.7606162242055596,-94.45837334593676,459.3300906945693,-10991.59396974431
224.62395543175487,0.7640270592916832,-92.95956654547192,422.9216161272942,-10430.846246644154
225.62674094707518,0.7674378943778069,-91.58135554915245,388.3719529622962,-9898.171776682824
226.62952646239552,0.7708487294639303,-90.31758047089846,355.5871142450981,-9392.62763783517
227.63231197771586,0.774259564550054,-89.16239558830144,324.4765268545739,-8913.169741511654
228.63509749303617,0.7776703996361776,-88.1102571589626,294.95330647971275,-8458.689308398942
229.63788300835654,0.7810812347223012,-87.15591051020816,266.93442271580557,-8028.0417431436945
230.64066852367685,0.7844920698084247,-86.29437673232445,240.34077761478963,-7620.069270029666
231.64345403899716,0.7879029048945483,-85.52093923391708,215.09721679723643,-7233.618469970218
232.64623955431756,0.791313739980672,-84.83113035955414,191.1324887034276,-6867.553669215533
233.64902506963787,0.7947245750667955,-84.22071822232913,168.37916462570217,-6520.766968639992
234.65181058495818,0.7981354101529191,-83.68569386550175,146.7735297330875,-6192.185566001685
235.65459610027852,0.8015462452390426,-83.22225883638976,126.25545329235737,-5880.776908775985
236.65738161559884,0.8049570803251662,-82.82681323085986,106.76824463937334,-5585.552119194769
237.6601671309192,0.8083679154112899,-82.49594424700626,88.25850010055622,-5305.568053133779
238.66295264623955,0.8117787504974134,-82.22641527099213,70.67594495819115,-5039.928287926388
239.66573816155986,0.8151895855835369,-82.01515550579408,53.97327365207739,-4787.78327916363
240.66852367688017,0.8186004206696605,-81.85925014410725,38.10599067816646,-4548.329881077443
241.67130919220057,0.8220112557557843,-81.755931079412,23.032254052911103,-4320.810387626224
242.67409470752088,0.8254220908419078,-81.70256814374731,8.71272273513092,-4104.511220623384
243.6768802228412,0.8288329259280314,-81.69666085672402,-4.889590985343208,-3898.7613660038105
244.67966573816153,0.8322437610141549,-81.73583066745712,-17.80946342816031,-3702.9306386945727
245.6824512534819,0.8356545961002786,-81.8178136691605,-30.07959533020425,-3516.4278397381154
246.6852367688022,0.8390654311864022,-81.94045376494151,-41.730741249508036,-3338.6988555598095
247.68802228412255,0.8424762662725257,-82.10169626269456,-52.79183244285602,-3169.2247381931033
248.69080779944287,0.8458871013586492,-82.29958187679767,-63.29009321000534,-3007.5197962882326
249.69359331476318,0.8492979364447728,-82.5322411144633,-73.25115078495284,-2853.1297194138892
250.69637883008355,0.8527087715308965,-82.79788902499463,-82.69913892030391,-2705.6297524010233
251.6991643454039,0.85611960661702,-83.0948202907919,-91.65679535910947,-2564.6229317766297
252.7019498607242,0.8595304417031436,-83.42140463968245,-100.14555342218574,-2429.738392591693
253.70473537604454,0.8629412767892671,-83.77608255897003,-108.18562796177405,-2300.629751091881
254.7075208913649,0.8663521118753909,-84.15736129248363,-115.79609594662031,-2176.9735663125875
255.71030640668522,0.8697629469615145,-84.5638111028246,-122.99497195029504,-2058.467881860261
256.71309192200556,0.873173782047638,-84.99406178194143,-129.799278816418,-1944.8308478269328
257.71587743732584,0.8765846171337615,-85.44679939409275,-136.22511377224697,-1835.799421699303
258.7186629526462,0.8799954522198851,-85.9207632361744,-142.28771025654933,-1731.128146314879
259.7214484679666,0.8834062873060088,-86.41474300128016,-148.00149571996724,-1630.5880023827617
260.72423398328687,0.8868171223921323,-86.9275761322286,-153.38014564690823,-1533.9653326895886
261.7270194986072,0.8902279574782559,-87.45814535261967,-158.43663403758347,-1441.0608348100125
262.72980501392755,0.8936387925643794,-88.00537636377678,-163.1832805775886,-1351.6886190241964
263.7325905292479,0.8970496276505031,-88.5682356966849,-167.63179471121748,-1265.6753280446264
264.7353760445682,0.9004604627366267,-89.14572870875105,-171.79331682279013,-1182.8593151504015
265.73816155988857,0.9038712978227502,-89.73689771588755,-175.67845671904334,-1103.0898773725564
266.74094707520885,0.9072821329088738,-90.34082025105747,-179.29732959403202,-1026.2265404126151
267.7437325905292,0.9106929679949973,-90.95660744101703,-182.6595896470203,-952.1383921341329
268.7465181058496,0.914103803081121,-91.5834024935542,-185.77446151331185,-880.7034615497795
269.7493036211699,0.9175146381672445,-92.22037928804636,-188.65076965756302,-811.8081403459687
270.7520891364902,0.9209254732533682,-92.86674106265328,-191.29696586940688,-745.3466441425346
271.75487465181055,0.9243363083394917,-93.52171919191987,-193.72115499186597,-681.2205108428109
272.7576601671309,0.9277471434256154,-94.1845720489925,-195.93111900439197,-619.3381335718602
273.76044568245123,0.931157978511739,-94.8545839470518,-197.93433957398747,-559.6143257935638
274.7632311977716,0.9345688135978625,-95.531064154938,-199.73801917985838,-501.96991637276966
275.76601671309186,0.9379796486839861,-96.21334598228893,-201.34910090985667,-446.3313725207184
276.76880222841226,0.9413904837701098,-96.90078592983498,-202.7742870201354,-392.63044863317816
277.7715877437326,0.9448013188562333,-97.59276290079325,-204.02005634273542,-340.8038591550778
278.7743732590529,0.9482121539423568,-98.28867746958147,-205.0926806198298,-290.792973754752
279.7771587743732,0.9516229890284804,-98.9879512043295,-205.99823983766572,-242.54353321042316
280.77994428969356,0.9550338241146039,-99.69002603990573,-206.74263662806396,-196.0053844553731
281.7827298050139,0.9584446592007276,-100.39436369839797,-207.33160979994716,-151.13223337695334
282.78551532033424,0.9618554942868512,-101.10044515419109,-207.7707470591997,-107.88141407418854
283.7883008356546,0.9652663293729747,-101.80777014097755,-208.0654969705199,-66.21367325655127
284.79108635097487,0.9686771644590983,-102.51585669820822,-208.2211802106048,-26.092968687596553
285.79387186629526,0.9720879995452221,-103.22424075465514,-208.24300015887087,12.513719419695505
286.7966573816156,0.9754988346313456,-103.93247574690803,-208.1360528676137,49.63656515580322
