曲柄转角(度),时间(s),工作阻力(N),O1水平反力(N),O1垂直反力(N),O1反力大小(N),O2水平反力(N),O2垂直反力(N),O2反力大小(N),平衡力矩(N·m)
74.20612813370472,0.25240179637314536,8467.7745685423,-5080.684459833499,-446.35499999999996,5100.253657066344,-3387.122973222333,-191.295,3392.520569245748,668.1435117931184
75.20891364902506,0.2558126314592689,8508.395431761699,-5105.055709205734,-446.35499999999996,5124.531840092231,-3403.3704728038233,-191.295,3408.7423417116643,674.5692058527632
76.2116991643454,0.2592234665453925,8546.410096908314,-5127.863226794603,-446.35499999999996,5147.253059519938,-3418.575484529736,-191.295,3423.923498043249,680.6104880286343
77.21448467966573,0.26263430163151613,8581.80691974818,-5149.1000267988165,-446.35499999999996,5168.41018805634,-3432.733351199211,-191.295,3438.059341759587,686.2599568912153
78.21727019498607,0.2660451367176397,8614.575057915989,-5168.759604529241,-446.35499999999996,5187.996591694937,-3445.8397363528275,-191.295,3451.1455005045964,691.5106910379997
79.2200557103064,0.2694559718037633,8644.704474236196,-5186.835938401836,-446.35499999999996,5206.006131183659,-3457.890625601224,-191.295,3463.1779272289527,696.3562575731936
80.22284122562672,0.27286680688988685,8672.185939797502,-5203.323491782611,-446.35499999999996,5222.433163398244,-3468.8823278550744,-191.295,3474.152901288347,700.7907199889275
81.22562674094706,0.27627764197601046,8697.011036779752,-5218.21721468405,-446.35499999999996,5237.272542617003,-3478.8114764560337,-191.295,3484.067029456696,704.808645438323
82.2284122562674,0.279688477062134,8719.172161032377,-5231.512545312442,-446.35499999999996,5250.51962169331,-3487.6750302082946,-191.295,3492.917246853041,708.4051113915006
83.23119777158773,0.2830993121482576,8738.662524403631,-5243.2054114656985,-446.35499999999996,5262.170253122583,-3495.4702743104663,-191.295,3500.700817781075,711.5757116663806
84.23398328690807,0.28651014723438123,8755.476156819857,-5253.292231781183,-446.35499999999996,5272.220790000882,-3502.194821187455,-191.295,3507.415336480302,714.3165618268823
85.2367688022284,0.2899209823205048,8769.607908114167,-5261.769916833178,-446.35499999999996,5280.668086872686,-3507.8466112221195,-191.295,3513.0587277880095,716.6243039419091
86.23955431754874,0.2933318174066284,8781.053449603995,-5268.635870079691,-446.35499999999996,5287.509500465732,-3512.4239133864608,-191.295,3517.6292477113134,718.4961106992934
87.24233983286908,0.29674265249275195,8789.809275417001,-5273.887988658238,-446.35499999999996,5292.742890311094,-3515.9253257721593,-191.295,3521.12548390867,719.9296888696539
88.2451253481894,0.30015348757887556,8795.872703564964,-5277.524664030444,-446.35499999999996,5296.366619247071,-3518.3497760202963,-191.295,3523.5463560803437,720.9232821159292
